Ab_Chocke;Freq;Vazao_Chocke
100;39,9;2,50678134
100;40;2,505656481
100;40;2,507062674
100;40;2,507062674
100;39,9;2,507062674
100;40;2,505656481
100;40;2,50425005
100;39,9;2,50678134
100;40;2,505937576
100;39,9;2,505656481
100;39,9;2,505656481
100;39,9;2,50425005
100;40;2,505937576
100;39,9;2,50678134
100;39,9;2,507062674
100;39,9;2,507906437
100;39,9;2,505093813
100;39,9;2,503406286
100;39,9;2,503406286
100;40;2,504531384
100;39,9;2,505937576
100;39,9;2,505375147
100;40;2,505093813
100;40;2,50678134
100;39,9;2,506500244
100;39,9;2,505937576
100;39,9;2,503406286
100;40;2,50425005
100;40;2,505937576
100;39,9;2,505093813
100;40;2,505656481
100;39,9;2,509031296
100;39,9;2,504812717
100;40;2,504812717
100;40;2,504812717
100;40;2,502000093
100;40;2,503406286
100;40;2,502281427
100;40;2,502281427
100;40;2,504531384
100;40;2,50425005
100;39,9;2,50425005
100;39,9;2,507062674
100;39,9;2,507062674
100;39,9;2,508468866
100;39,9;2,510156393
100;39,9;2,510156393
100;39,9;2,505937576
100;40;2,505093813
100;39,9;2,504531384
100;39,9;2,503406286
100;39,9;2,503406286
100;39,9;2,503406286
100;40;2,505093813
100;40;2,507906437
100;40;2,505937576
100;39,9;2,5087502
100;40;2,505093813
100;40;2,505656481
100;40;2,50678134
100;40;2,503406286
100;40;2,505937576
100;39,9;2,5087502
100;39,9;2,505656481
100;39,9;2,50678134
100;39,9;2,503406286
100;39,9;2,50425005
100;39,9;2,505656481
100;40;2,503406286
100;40;2,505656481
100;39,9;2,505375147
100;39,9;2,505093813
100;39,9;2,50368762
100;39,9;2,507906437
100;39,9;2,50678134
100;40;2,505656481
100;40;2,505093813
100;40;2,505093813
100;39,9;2,505656481
100;40;2,504531384
100;39,9;2,508187532
100;39,9;2,507344007
100;40;2,505937576
100;40;2,505937576
100;40;2,505656481
100;39,9;2,505093813
100;39,9;2,504812717
100;39,9;2,503406286
100;39,9;2,506500244
100;40;2,507625103
100;39,9;2,505093813
100;39,9;2,507062674
100;39,9;2,505093813
100;39,9;2,505656481
100;39,9;2,50621891
100;40;2,507906437
100;40;2,507906437
100;40;2,505375147
100;40;2,505656481
100;40;2,50678134
100;40;2,507906437
100;40;2,507062674
100;39,9;2,50425005
100;39,9;2,503406286
100;39,9;2,504531384
100;39,9;2,505093813
100;39,9;2,50425005
100;39,9;2,505375147
100;39,9;2,505375147
100;40;2,50621891
100;39,9;2,50425005
100;40;2,505656481
100;40;2,50678134
100;40;2,503406286
100;40;2,505093813
100;40;2,50678134
100;40;2,504531384
100;39,9;2,505375147
100;39,9;2,505656481
100;39,9;2,505093813
100;39,9;2,50425005
100;40;2,504812717
100;40;2,503406286
100;39,9;2,507625103
100;40;2,505375147
100;40;2,50678134
100;40;2,509593964
100;40;2,505937576
100;40;2,508187532
100;40;2,507906437
100;39,9;2,507625103
100;40;2,507906437
100;39,9;2,505656481
100;40;2,505375147
100;39,9;2,50678134
100;40;2,5087502
100;40;2,507906437
100;39,9;2,507344007
100;39,9;2,504531384
100;39,9;2,50931263
100;39,9;2,588343859
100;40,4;2,975906372
100;43,3;3,090656519
100;48,7;3,357000113
100;51,8;3,53137517
100;54,7;3,724312782
100;56;3,846937656
100;58;3,983625174
100;59,4;4,057593822
100;59,4;4,085437775
100;59,7;4,075593948
100;60;4,075875282
100;60,1;4,073344231
100;60;4,069969177
100;60;4,072781563
100;60;4,071094036
100;60;4,064343929
100;60;4,060968876
100;60;4,058437824
100;60;4,066594124
100;60;4,056468964
100;60;4,055906296
100;60;4,049437523
100;60;4,064343929
100;60;4,060125351
100;59,9;4,060968876
100;59,9;4,059844017
100;59,9;4,052250385
100;59,9;4,050281525
100;59,9;4,052531719
100;60;4,052812576
100;60;4,06321907
100;60;4,059844017
100;60;4,060406685
100;59,9;4,048312664
100;59,9;4,052250385
100;59,9;4,057593822
100;59,9;4,053937912
100;59,9;4,050562859
100;59,9;4,059562683
100;59,9;4,062937737
100;59,9;4,051687717
100;59,9;4,064343929
100;59,9;4,062656403
100;60;4,059844017
100;60;4,059844017
100;59,9;4,067718983
100;59,9;4,054500103
100;60;4,058437824
100;59,9;4,058437824
100;59,9;4,057593822
100;59,9;4,054500103
100;59,9;4,060687542
100;59,9;4,066594124
100;59,9;4,062937737
100;60;4,063781261
100;59,9;4,063781261
100;59,9;4,053656578
100;59,9;4,05112505
100;59,9;4,046343803
100;59,9;4,051969051
100;59,9;4,057593822
100;59,9;4,048312664
100;59,9;4,048312664
100;59,9;4,055344105
100;59,9;4,055625439
100;59,9;4,057031631
100;59,9;4,051687717
100;60;4,049437523
100;59,9;4,053937912
100;59,9;4,050562859
100;59,9;4,042687893
100;59,9;4,042687893
100;59,9;4,043812752
100;59,9;4,046343803
100;59,9;4,049437523
100;59,9;4,04803133
100;59,9;4,047469139
100;59,9;4,042406559
100;59,9;4,052250385
100;59,9;4,060968876
100;59,9;4,049156666
100;59,9;4,046062946
100;59,9;4,046625137
100;60;4,051687717
100;60;4,045218945
100;60;4,048312664
100;60;4,042969227
100;59,9;4,045500278
100;59,9;4,049437523
100;59,9;4,045218945
100;59,9;4,059281349
100;59,9;4,053937912
100;59,9;4,052812576
100;59,9;4,047750473
100;59,9;4,042969227
100;59,9;4,054218769
100;59,9;4,03931284
100;59,9;4,041562557
100;59,9;4,043250084
100;59,9;4,0412817
100;59,9;4,042969227
100;59,9;4,042687893
100;59,9;4,040719032
100;59,9;4,042125225
100;59,9;4,042125225
100;59,9;4,049437523
100;59,9;4,052531719
100;59,9;4,042969227
100;59,9;4,050562859
100;59,9;4,040156364
100;59,9;4,042406559
100;60;4,041562557
100;59,9;4,049437523
100;59,9;4,050000191
100;59,9;4,044937611
100;59,9;4,033125401
100;60;4,032000065
100;60;4,038187981
100;60;4,042969227
100;60;4,043812752
100;60;4,047469139
100;59,9;4,046062946
100;59,9;4,050844193
100;59,9;4,043531418
100;59,9;4,051406384
100;59,9;4,055062771
100;59,9;4,040437698
100;59,9;4,039031506
100;59,9;4,040437698
100;59,9;4,040437698
100;59,9;4,043531418
100;59,9;4,044937611
100;59,9;4,042125225
100;59,9;4,037906647
100;59,9;4,035093784
100;59,9;4,043812752
100;59,9;4,039594173
100;59,9;4,046343803
100;59,9;4,033125401
100;60;4,042969227
100;60;4,046062946
100;60;4,043250084
100;59,9;4,037062645
100;60;4,03931284
100;59,9;4,046906471
100;59,9;4,047187805
100;59,9;4,03931284
100;59,9;4,031437874
100;59,9;4,033687592
100;59,9;4,037343979
100;59,9;4,04803133
100;59,9;4,037062645
100;59,9;4,042687893
100;59,9;4,048312664
100;59,9;4,052250385
100;60;4,043812752
100;60;4,045500278
100;60;4,043812752
100;60;4,046625137
100;60;4,030312538
100;60;4,037906647
100;59,9;4,044937611
100;59,9;4,038468838
100;59,9;4,03621912
100;59,9;4,032562733
100;59,9;4,029187679
100;60;4,036500454
100;59,9;4,042969227
100;59,9;4,035937786
100;59,9;4,039031506
100;59,9;4,038468838
100;59,9;4,025812626
100;59,9;4,037906647
100;59,9;4,036781311
100;59,9;4,035375118
100;59,9;4,038187981
100;59,9;4,046343803
100;59,9;4,049437523
100;59,9;4,043812752
100;59,9;4,038187981
100;59,9;4,029187679
100;59,9;4,038750172
100;59,9;4,041562557
100;59,9;4,039031506
100;59,9;4,035656452
100;59,9;4,03621912
100;59,9;4,038750172
100;59,9;4,037062645
100;59,9;4,030312538
100;59,9;4,031437874
100;59,9;4,030875206
100;59,9;4,034531593
100;59,9;4,035656452
100;59,9;4,030875206
100;59,9;4,026656628
100;59,9;4,030312538
100;59,9;4,038187981
100;59,9;4,033968925
100;59,9;4,033687592
100;59,9;4,033687592
100;59,9;4,03115654
100;59,9;4,035656452
100;59,9;4,040719032
100;59,9;4,03931284
100;59,9;4,028625011
100;59,9;4,028906345
100;59,9;4,031719208
100;59,9;4,031719208
100;59,9;4,029187679
100;60;4,031437874
100;59,9;4,023281574
100;59,9;4,018781662
100;59,9;4,023281574
100;59,9;4,030875206
100;59,9;4,030593872
100;59,9;4,041562557
100;59,9;4,034812927
100;59,9;4,025531292
100;59,9;4,033687592
100;59,9;4,026375294
100;59,9;4,019906521
100;59,9;4,027500153
100;59,9;4,028906345
100;59,9;4,036781311
100;59,9;4,038468838
100;59,9;4,02806282
100;59,9;4,027218819
100;59,9;4,022156715
100;59,9;4,030312538
100;59,9;4,033687592
100;59,9;4,033406258
100;59,9;4,025812626
100;59,9;4,024969101
100;60;4,021875381
100;59,9;4,023281574
100;60;4,030312538
